ingredients,cooking_method,cooking_temperature,cooking_duration,storage_temperature,humidity,container_type,preparation_date,safe_hours,risk_level,recommended_max_temp,storage_tips
"eggs,quinoa,peppers",roasted,247.64180991515863,67.07315635687137,3.891905634155429,32.50425846858795,glass,2025-01-01,92.3,low,5.891905634155429,Standard storage adequate
"eggs,bread,carrots",grilled,67.5184362180658,90.43712114661362,5.266273998083454,64.4875997862703,glass,2025-01-03,53.2,medium,7.266273998083454,Reduce storage temperature; Control humidity
"pork,noodles,mushrooms",steamed,99.77227356736283,80.18009488882127,2.6916775791693546,37.84494848043933,glass,2025-01-23,110.4,low,4.691677579169355,Standard storage adequate
"chicken,rice,broccoli",stir_fried,189.65950322315305,123.29285499015424,7.445908196627615,69.51999280057092,ceramic,2025-01-07,31.3,high,8.0,Reduce storage temperature; Control humidity
"chicken,noodles,broccoli",baked,137.3660065255468,21.114370670938303,6.590435913827712,54.53393047501492,ceramic,2025-01-07,56.1,medium,8.0,Reduce storage temperature
"beef,quinoa,mushrooms",fried,200.5726662715931,168.98536816759113,6.182832150931107,46.440142148452374,glass,2025-01-13,66.4,medium,8.0,Reduce storage temperature
"lamb,potatoes,peppers",roasted,113.13406301050384,124.61962040027241,8.003664218022827,64.05956705157571,glass,2025-01-09,37.0,high,8.0,Reduce storage temperature; Control humidity
"beef,bread,carrots",stir_fried,189.5530539607634,86.2953975025638,5.537574921844261,35.53465642037577,glass,2025-01-18,66.6,medium,7.537574921844261,Reduce storage temperature
"beef,noodles,spinach",boiled,238.68085998327376,29.209504777384076,5.007026186329225,49.46844502021879,vacuum_sealed,2024-12-30,84.2,low,7.007026186329225,Reduce storage temperature
"beef,bread,broccoli",stir_fried,231.22391761920642,121.48336356636626,3.8485416435934248,56.33952333386401,plastic,2025-01-04,61.0,medium,5.848541643593425,Consider airtight container
"eggs,rice,peppers",boiled,121.95997950274416,92.0725851457114,7.928724626217084,65.92454868836548,vacuum_sealed,2024-12-28,47.6,high,8.0,Reduce storage temperature; Control humidity
"beef,noodles,broccoli",boiled,130.04289875772585,18.787966703761036,6.911075251393971,37.291833678206935,glass,2025-01-14,82.9,low,8.0,Reduce storage temperature
"beef,bread,peppers",fried,146.1953773375575,170.95211452380985,4.687225601445309,71.82725111908644,plastic,2025-01-23,44.4,high,6.687225601445309,Control humidity; Consider airtight container
"lamb,noodles,peppers",baked,100.48586046424455,44.57619558119447,4.203156126501081,30.211874721133974,glass,2024-12-26,78.8,low,6.203156126501081,Standard storage adequate
"beef,quinoa,onions",roasted,181.52128704361877,132.5382326232226,4.43612569798731,47.08614002778622,vacuum_sealed,2025-01-18,85.3,low,6.43612569798731,Standard storage adequate
"beef,rice,mushrooms",roasted,110.04217102152938,165.15351520980136,6.937564576439861,37.70025706451175,ceramic,2024-12-28,61.9,medium,8.0,Reduce storage temperature
"beef,rice,carrots",boiled,222.38218589074452,70.87616713088437,6.813146357449493,47.41981714471619,glass,2025-01-05,75.1,low,8.0,Reduce storage temperature
"pork,rice,spinach",steamed,87.05997391435176,177.68252162239952,4.010872788536779,55.99079275417558,ceramic,2025-01-04,64.1,medium,6.010872788536779,Standard storage adequate
"fish,bread,onions",fried,140.53565907148516,167.99445154492193,7.825571202968102,33.20056560645109,glass,2025-01-18,51.1,medium,8.0,Reduce storage temperature
"tofu,potatoes,carrots",fried,172.91725649953116,109.82495571468678,7.67029104056111,76.95490845201438,vacuum_sealed,2024-12-26,45.2,high,8.0,Reduce storage temperature; Control humidity
